Size,Method,Threads,Time_Sec
256,Tiled,152,0.000303
256,RowMajor,153,0.000093
256,ColMajor,153,0.000465
256,NumpyStrided,153,0.000120
256,Morton,153,0.000273
256,Tiled,153,0.000141
256,RowMajor,154,0.000086
256,ColMajor,154,0.000452
256,NumpyStrided,154,0.000126
256,Morton,154,0.000275
256,Tiled,154,0.000100
256,RowMajor,155,0.000088
256,ColMajor,155,0.000458
256,NumpyStrided,155,0.000114
256,Morton,155,0.000280
256,Tiled,155,0.000101
256,RowMajor,156,0.000101
256,ColMajor,156,0.000443
256,NumpyStrided,156,0.000115
256,Morton,156,0.000262
256,Tiled,156,0.000096
256,RowMajor,157,0.000084
256,ColMajor,157,0.000464
256,NumpyStrided,157,0.000106
256,Morton,157,0.000262
256,Tiled,157,0.000098
256,RowMajor,158,0.000084
256,ColMajor,158,0.000460
256,NumpyStrided,158,0.000105
256,Morton,158,0.000261
256,Tiled,158,0.000138
256,RowMajor,159,0.000084
256,ColMajor,159,0.000442
256,NumpyStrided,159,0.000112
256,Morton,159,0.000262
256,Tiled,159,0.000138
256,RowMajor,160,0.000084
256,ColMajor,160,0.000450
256,NumpyStrided,160,0.000106
256,Morton,160,0.000267
256,Tiled,160,0.000101
256,RowMajor,161,0.000086
256,ColMajor,161,0.000454
256,NumpyStrided,161,0.000109
256,Morton,161,0.000270
256,Tiled,161,0.000101
256,RowMajor,162,0.000087
256,ColMajor,162,0.000469
256,NumpyStrided,162,0.000111
256,Morton,162,0.000266
256,Tiled,162,0.000099
256,RowMajor,163,0.000088
256,ColMajor,163,0.000503
256,NumpyStrided,163,0.000127
256,Morton,163,0.000285
256,Tiled,163,0.000221
256,RowMajor,164,0.000109
256,ColMajor,164,0.000460
256,NumpyStrided,164,0.000157
256,Morton,164,0.000297
256,Tiled,164,0.000141
256,RowMajor,165,0.000086
256,ColMajor,165,0.000463
256,NumpyStrided,165,0.000095
256,Morton,165,0.000266
256,Tiled,165,0.000100
256,RowMajor,166,0.000085
256,ColMajor,166,0.000501
256,NumpyStrided,166,0.000111
256,Morton,166,0.000262
256,Tiled,166,0.000097
256,RowMajor,167,0.000090
256,ColMajor,167,0.000456
256,NumpyStrided,167,0.000106
256,Morton,167,0.000639
256,Tiled,167,0.000112
256,RowMajor,168,0.000089
256,ColMajor,168,0.000459
256,NumpyStrided,168,0.000116
256,Morton,168,0.000567
256,Tiled,168,0.000108
256,RowMajor,169,0.000089
256,ColMajor,169,0.000638
256,NumpyStrided,169,0.000113
256,Morton,169,0.000322
256,Tiled,169,0.000104
256,RowMajor,170,0.000088
256,ColMajor,170,0.000627
256,NumpyStrided,170,0.000111
256,Morton,170,0.000320
256,Tiled,170,0.000141
256,RowMajor,171,0.000086
256,ColMajor,171,0.000592
256,NumpyStrided,171,0.000110
256,Morton,171,0.000318
256,Tiled,171,0.000130
256,RowMajor,172,0.000092
256,ColMajor,172,0.000635
256,NumpyStrided,172,0.000118
256,Morton,172,0.000326
256,Tiled,172,0.000118
256,RowMajor,173,0.000086
256,ColMajor,173,0.000604
256,NumpyStrided,173,0.000123
256,Morton,173,0.000316
256,Tiled,173,0.000141
256,RowMajor,174,0.000089
256,ColMajor,174,0.000613
256,NumpyStrided,174,0.000117
256,Morton,174,0.000320
256,Tiled,174,0.000103
256,RowMajor,175,0.000097
256,ColMajor,175,0.000623
256,NumpyStrided,175,0.000120
256,Morton,175,0.000338
256,Tiled,175,0.000104
256,RowMajor,176,0.000088
256,ColMajor,176,0.000619
256,NumpyStrided,176,0.000113
256,Morton,176,0.000328
256,Tiled,176,0.000143
256,RowMajor,177,0.000088
256,ColMajor,177,0.000597
256,NumpyStrided,177,0.000110
256,Morton,177,0.000331
256,Tiled,177,0.000102
256,RowMajor,178,0.000087
256,ColMajor,178,0.000598
256,NumpyStrided,178,0.000110
256,Morton,178,0.000319
256,Tiled,178,0.000102
256,RowMajor,179,0.000089
256,ColMajor,179,0.000608
256,NumpyStrided,179,0.000113
256,Morton,179,0.000315
256,Tiled,179,0.000108
256,RowMajor,180,0.000180
256,ColMajor,180,0.000516
256,NumpyStrided,180,0.000115
256,Morton,180,0.000305
256,Tiled,180,0.000099
256,RowMajor,181,0.000092
256,ColMajor,181,0.000464
256,NumpyStrided,181,0.000114
256,Morton,181,0.000268
256,Tiled,181,0.000099
256,RowMajor,182,0.000086
256,ColMajor,182,0.000465
256,NumpyStrided,182,0.000107
256,Morton,182,0.000267
256,Tiled,182,0.000099
256,RowMajor,183,0.000086
256,ColMajor,183,0.000468
256,NumpyStrided,183,0.000113
256,Morton,183,0.000267
256,Tiled,183,0.000141
256,RowMajor,184,0.000096
256,ColMajor,184,0.000460
256,NumpyStrided,184,0.000108
256,Morton,184,0.000321
256,Tiled,184,0.000100
256,RowMajor,185,0.000091
256,ColMajor,185,0.000464
256,NumpyStrided,185,0.000112
256,Morton,185,0.000268
256,Tiled,185,0.000133
256,RowMajor,186,0.000089
256,ColMajor,186,0.000464
256,NumpyStrided,186,0.000113
256,Morton,186,0.000271
256,Tiled,186,0.000141
256,RowMajor,187,0.000086
256,ColMajor,187,0.000465
256,NumpyStrided,187,0.000114
256,Morton,187,0.000267
256,Tiled,187,0.000141
256,RowMajor,188,0.000086
256,ColMajor,188,0.000454
256,NumpyStrided,188,0.000108
